iter	Passed	Remaining
0	44	22343
1	81	20317
2	157	26012
3	321	39849
4	455	45102
5	522	43026
6	570	40168
7	624	38417
8	671	36643
9	717	35156
10	768	34157
11	813	33076
12	861	32290
13	918	31871
14	970	31380
15	1063	32180
16	1163	33070
17	1267	33934
18	1332	33733
19	1393	33454
20	1478	33728
21	1556	33815
22	1635	33912
23	1685	33433
24	1739	33049
25	1783	32508
26	1833	32123
27	1882	31735
28	1932	31385
29	1983	31077
30	2037	30823
31	2072	30313
32	2135	30226
33	2187	29978
34	2237	29723
35	2291	29530
36	2341	29297
37	2397	29149
38	2456	29033
39	2506	28821
40	2562	28687
41	2671	29131
42	2754	29273
43	2812	29148
44	2854	28863
45	2907	28692
46	2956	28493
47	3007	28321
48	3062	28183
49	3123	28110
50	3183	28026
51	3245	27958
52	3297	27808
53	3354	27704
54	3413	27622
55	3473	27540
56	3529	27428
57	3593	27388
58	3677	27486
59	3778	27711
60	3847	27690
61	3939	27827
62	4015	27856
63	4066	27700
64	4107	27489
65	4185	27525
66	4249	27465
67	4293	27279
68	4340	27115
69	4400	27031
70	4464	26975
71	4517	26852
72	4568	26720
73	4624	26621
74	4672	26476
75	4696	26204
76	4750	26094
77	4796	25952
78	4844	25814
79	4927	25866
80	5030	26021
81	5096	25977
82	5143	25839
83	5195	25729
84	5245	25610
85	5302	25525
86	5359	25443
87	5424	25396
88	5464	25233
89	5513	25116
90	5529	24850
91	5582	24756
92	5635	24661
93	5682	24543
94	5737	24457
95	5817	24480
96	5864	24364
97	5917	24275
98	5957	24132
99	6004	24019
100	6048	23895
101	6100	23802
102	6169	23781
103	6223	23695
104	6282	23632
105	6336	23552
106	6389	23468
107	6454	23427
108	6508	23346
109	6556	23244
110	6610	23167
111	6688	23169
112	6744	23097
113	6795	23008
114	6851	22939
115	6908	22869
116	6956	22771
117	7010	22694
118	7060	22604
119	7130	22581
120	7211	22586
121	7367	22827
122	7461	22868
123	7542	22871
124	7618	22854
125	7735	22961
126	7829	22994
127	7952	23111
128	8039	23120
129	8124	23124
130	8224	23165
131	8298	23136
132	8379	23122
133	8476	23151
134	8566	23161
135	8656	23167
136	8731	23134
137	8833	23170
138	8982	23329
139	9165	23568
140	9252	23557
141	9322	23503
142	9404	23477
143	9480	23437
144	9558	23401
145	9663	23429
146	9774	23470
147	9849	23424
148	9903	23329
149	9957	23233
150	10012	23142
151	10066	23047
152	10115	22942
153	10178	22867
154	10227	22764
155	10282	22675
156	10339	22589
157	10402	22516
158	10468	22451
159	10542	22403
160	10623	22369
161	10701	22328
162	10771	22269
163	10844	22216
164	10907	22146
165	10970	22073
166	11066	22066
167	11164	22063
168	11230	21995
169	11315	21966
170	11397	21928
171	11467	21868
172	11538	21808
173	11630	21789
174	11692	21715
175	11772	21671
176	11838	21604
177	11901	21529
178	12018	21553
179	12107	21523
180	12198	21499
181	12289	21472
182	12366	21422
183	12447	21376
184	12522	21321
185	12584	21245
186	12655	21182
187	12725	21118
188	12801	21064
189	12860	20982
190	12918	20899
191	12961	20792
192	13010	20694
193	13064	20606
194	13113	20510
195	13170	20427
196	13255	20387
197	13345	20355
198	13422	20302
199	13504	20257
200	13648	20302
201	13759	20298
202	13852	20267
203	13930	20212
204	14019	20173
205	14089	20107
206	14150	20029
207	14219	19961
208	14348	19978
209	14459	19967
210	14555	19936
211	14637	19885
212	14716	19829
213	14786	19761
214	14837	19668
215	14899	19589
216	14945	19491
