iter	RMSE
349	37.15545491
350	37.11629304
351	37.0449631
352	37.00360295
353	36.9878135
354	36.96029286
355	36.91399265
356	36.87380227
357	36.83386523
358	36.82280924
359	36.72546419
360	36.63635061
361	36.58604211
362	36.55379218
363	36.50661706
364	36.45332775
365	36.40200401
366	36.35079113
367	36.29782083
368	36.23581783
369	36.17339618
370	36.12706386
371	36.08542214
372	36.03312002
373	36.02813864
374	35.91811277
375	35.85117508
376	35.82174692
377	35.73690473
378	35.67150086
379	35.64398073
380	35.58152538
381	35.51822318
382	35.4838527
383	35.44939427
384	35.40647298
385	35.34830833
386	35.27589755
387	35.25697708
388	35.22462704
389	35.20502189
390	35.18393425
391	35.13794271
392	35.06977178
393	35.01797853
394	35.00493909
395	34.96357422
396	34.88580892
397	34.83692187
398	34.78712916
399	34.75831755
400	34.70123619
401	34.62686843
402	34.62257072
403	34.58934712
404	34.55492922
405	34.51782053
406	34.46802503
407	34.41955642
408	34.39708366
409	34.34457785
410	34.33414139
411	34.28239956
412	34.24838225
413	34.19672915
414	34.15702907
415	34.11548168
416	34.0606102
417	34.00404406
418	33.96439679
419	33.93820053
420	33.90777082
421	33.88432991
422	33.81148097
423	33.77273738
424	33.76711617
425	33.6982868
426	33.63635152
427	33.60660271
428	33.56646384
429	33.44327134
430	33.3846441
431	33.33566896
432	33.2908771
433	33.2151751
434	33.20632019
435	33.147481
436	33.09814224
437	33.07253914
438	33.05685508
439	33.0517337
440	33.01299539
441	33.00359333
442	32.9575819
443	32.91070575
444	32.84495404
445	32.78359638
446	32.72476871
447	32.71159404
448	32.65854806
449	32.62102671
450	32.55891866
451	32.55075369
452	32.49089554
453	32.47610158
454	32.41573779
455	32.37299812
456	32.2985918
457	32.22828573
458	32.22102453
459	32.16527131
460	32.15834875
461	32.15517878
462	32.0879471
463	32.01481989
464	31.97099067
465	31.9397899
466	31.91674283
467	31.88607671
468	31.82267109
469	31.78746678
470	31.77003221
471	31.71022601
472	31.67734672
473	31.64570391
474	31.58539135
475	31.56644393
476	31.51495106
477	31.47597207
478	31.44072809
479	31.40952926
480	31.3971939
481	31.349274
482	31.3418367
483	31.27745394
484	31.24532376
485	31.17801454
486	31.15453544
487	31.13484838
488	31.09320576
489	31.06357827
490	31.02470108
491	30.98782366
492	30.94590258
493	30.9218599
494	30.8689721
495	30.82479433
496	30.77555152
497	30.75274862
498	30.67450174
499	30.60344819
