iter	RMSE
0	491.182088
1	471.5579922
2	450.6690907
3	430.2526525
4	411.8207372
5	395.5701358
6	380.2021959
7	364.3037532
8	349.9366479
9	335.506091
10	321.3993419
11	307.4794202
12	295.2117289
13	282.8450218
14	272.1050129
15	260.9117274
16	250.3728647
17	240.8808527
18	231.384306
19	221.9179536
20	213.5919336
21	205.3672213
22	197.65397
23	190.6661688
24	183.2906012
25	176.0448184
26	169.7411293
27	164.0028824
28	157.6675147
29	151.9727942
30	146.6745841
31	141.5460304
32	136.9848165
33	132.3399785
34	127.8516356
35	123.5886985
36	119.6680879
37	116.1126779
38	112.8788382
39	109.5634414
40	106.2194038
41	103.4454413
42	100.5577951
43	98.01546446
44	95.61243376
45	93.51980894
46	91.38024332
47	89.4634155
48	87.43192582
49	85.44713885
50	83.66977349
51	82.09866036
52	80.69010882
53	79.47775448
54	78.07367048
55	76.67029984
56	75.42418633
57	74.19521438
58	73.23778891
59	72.23451996
60	71.34596922
61	70.41913489
62	69.52365997
63	68.72425695
64	67.95026419
65	67.19192278
66	66.56503526
67	65.9167334
68	65.26449545
69	64.64163373
70	64.14227528
71	63.6992318
72	63.28023273
73	62.82703359
74	62.47466886
75	61.92705486
76	61.63456066
77	61.32961618
78	60.99599939
79	60.67096534
80	60.33157432
81	59.95641174
82	59.65418422
83	59.4307689
84	59.15310437
85	58.98854615
86	58.68780236
87	58.45899266
88	58.24872026
89	57.90971374
90	57.6142326
91	57.53424028
92	57.31182747
93	57.15772526
94	56.95689485
95	56.79405785
96	56.67706416
97	56.49986453
98	56.30234638
99	56.05349178
100	55.87971425
101	55.69454929
102	55.50363173
103	55.37874638
104	55.2332248
105	54.95139991
106	54.84083104
107	54.67032806
108	54.56204308
109	54.44380628
110	54.24201514
111	53.99770512
112	53.81945495
113	53.70765307
114	53.56315302
115	53.46294354
116	53.36362444
117	53.20342173
118	53.01530828
119	52.85818475
120	52.76560006
121	52.65987398
122	52.51315761
123	52.32159736
124	52.19268997
125	51.97867298
126	51.84687058
127	51.65683386
128	51.51156541
129	51.36934184
130	51.26043792
131	51.18917418
132	51.05946981
133	50.976993
134	50.86156479
135	50.77320434
136	50.63845431
137	50.53531533
138	50.44196593
139	50.3425082
140	50.2376934
141	50.16201253
142	50.05873947
143	49.89155126
144	49.83069869
145	49.7182649
146	49.62095809
147	49.51230591
148	49.41295302
149	49.25247905
150	49.17448934
151	48.98696862
152	48.92775751
153	48.83555762
154	48.76159499
155	48.58370332
156	48.49211875
157	48.43743113
158	48.36565592
159	48.32174743
160	48.26632375
161	48.18734483
162	48.10475595
163	48.03047873
164	47.93548842
165	47.86307597
166	47.75671042
167	47.67721966
168	47.61447773
169	47.54505333
170	47.43890608
171	47.34319613
172	47.29504245
173	47.1873238
174	47.11759576
175	47.05847145
176	46.97866817
177	46.92960225
178	46.84782282
179	46.76188173
180	46.64287
181	46.6003399
182	46.56046478
183	46.50994953
184	46.47636839
185	46.41343336
186	46.32358691
187	46.28297106
188	46.20767807
189	46.12804111
190	46.00964377
191	45.93843921
192	45.8773003
193	45.79262019
194	45.75869039
195	45.68328713
196	45.62777985
197	45.55686092
198	45.48250523
199	45.3005181
200	45.24350877
201	45.14524803
202	45.1127506
203	45.02383974
204	44.91767039
205	44.88475538
206	44.81131115
207	44.71732417
208	44.65371214
209	44.58042622
210	44.47350039
211	44.43629629
212	44.36517064
213	44.33940753
214	44.28095834
215	44.18970716
216	44.03642963
217	43.99151206
218	43.96084457
219	43.87411649
220	43.81668214
221	43.71092079
222	43.66211893
223	43.53043903
224	43.42968411
225	43.38318971
226	43.27865163
227	43.20815085
228	43.13824713
229	43.09683225
230	43.04933988
231	42.99222989
232	42.94453382
233	42.82800346
234	42.79413712
235	42.71986118
236	42.65999884
237	42.61641748
238	42.55785971
239	42.52205796
240	42.4040307
241	42.35444222
242	42.31915784
243	42.27304594
244	42.22377007
245	42.18399645
246	42.09801966
247	42.05997485
248	41.9809227
249	41.9331451
250	41.84891155
251	41.76305099
252	41.72962205
253	41.70165757
254	41.66686381
255	41.62208085
256	41.54919462
257	41.50253296
258	41.4274296
259	41.37376344
260	41.29212324
261	41.22858977
262	41.18408586
263	41.10482969
264	41.06642303
265	40.96116106
266	40.85521896
267	40.82882476
268	40.68721121
269	40.65514358
270	40.53447445
271	40.44727442
272	40.39873046
273	40.32537502
274	40.27252673
275	40.23280401
276	40.17841569
277	40.16512442
278	40.1183323
279	40.05177242
280	40.01292047
281	39.8952238
282	39.84221366
283	39.82073601
284	39.76398724
285	39.75114588
286	39.71117001
287	39.67526826
288	39.60077401
289	39.54749741
290	39.51577958
291	39.47833291
292	39.38431672
293	39.34236055
294	39.30821523
295	39.26846171
296	39.2585891
297	39.21425587
298	39.17925799
299	39.10918564
300	39.09199493
301	39.01868028
302	38.96733446
303	38.89786607
304	38.79709121
305	38.77845323
306	38.69956424
307	38.68148589
308	38.64947427
309	38.61689909
310	38.58356559
311	38.51533173
312	38.46377966
313	38.41882008
314	38.3362145
315	38.30783454
316	38.29915368
317	38.27304781
318	38.24385171
319	38.19774754
320	38.16538951
321	38.08800154
322	38.03218236
323	37.98860344
324	37.93042687
325	37.87500977
326	37.80446158
327	37.78606735
328	37.68250161
329	37.65954534
330	37.60854089
331	37.51644634
332	37.4756589
333	37.40236088
334	37.34135644
335	37.29442094
336	37.20655408
337	37.15457293
338	37.13895035
339	37.08738219
340	37.0136153
341	36.94576563
342	36.90758697
343	36.81793467
344	36.75942143
345	36.69372771
346	36.65367178
347	36.62535987
348	36.5940942
349	36.51811082
350	36.47759962
351	36.44719727
352	36.38551839
353	36.34064293
354	36.30462216
355	36.2403197
356	36.21233357
357	36.1231185
358	36.01076322
359	35.9188131
360	35.84721187
361	35.82267522
362	35.74385412
363	35.66229726
364	35.64761899
365	35.60494671
366	35.52723517
367	35.50585701
368	35.46076095
369	35.38875294
370	35.36466772
371	35.3529937
372	35.27981229
373	35.1831284
374	35.13689197
375	35.1296696
376	35.03267406
377	34.99281171
378	34.96750784
379	34.96079525
380	34.93593423
381	34.90111223
382	34.86958715
383	34.82199409
384	34.74422485
385	34.70775642
386	34.68943185
387	34.61320529
388	34.56075233
389	34.47871027
390	34.43213168
391	34.40638503
392	34.32619268
393	34.31274471
394	34.26782455
395	34.24789476
396	34.20175706
397	34.15499811
398	34.12223044
399	34.07841083
400	34.0286498
401	34.02311819
402	33.94685019
403	33.92179096
404	33.91619028
405	33.86838095
406	33.78761161
407	33.77638856
408	33.7342703
409	33.67560553
410	33.65981152
411	33.58535008
412	33.52147996
413	33.48073576
414	33.43400831
415	33.39367114
416	33.35860926
417	33.28264915
418	33.22551091
419	33.20822613
420	33.19636511
421	33.13935424
422	33.1143041
423	33.10179136
424	33.07493398
425	33.05747338
426	32.99017222
427	32.97690762
428	32.96323906
429	32.91226193
430	32.83961354
431	32.78635589
432	32.75533974
433	32.70678908
434	32.65704966
435	32.60590271
436	32.59549004
437	32.58643401
438	32.52462116
439	32.51423349
440	32.46930744
441	32.41959556
442	32.36899325
443	32.33145192
444	32.2809121
445	32.24238459
446	32.18125765
447	32.15253014
448	32.11149593
449	32.08793559
450	32.07296226
451	32.01918583
452	31.97906404
453	31.96108784
454	31.91717802
455	31.89572655
456	31.89125232
457	31.85124515
458	31.81278849
459	31.7627617
460	31.71248372
461	31.6937547
462	31.67445018
463	31.60211468
464	31.55863104
465	31.52800887
466	31.51954983
467	31.5015352
468	31.44058236
469	31.40765954
470	31.38476101
471	31.3665802
472	31.30513467
473	31.2700118
474	31.23665238
475	31.16519183
476	31.10059192
477	31.0840323
478	31.0170437
479	31.00068383
480	30.97374043
481	30.9580976
482	30.9262374
483	30.9100903
484	30.87345127
485	30.81923874
486	30.79352994
487	30.78716495
488	30.75964999
489	30.74081398
490	30.68852492
491	30.65978252
492	30.62885571
493	30.55719869
494	30.52798193
495	30.47345132
496	30.4567793
497	30.39387657
498	30.33366756
499	30.28612837
