iter	Passed	Remaining
0	43	21921
1	88	21985
2	132	21972
3	231	28722
4	286	28409
5	333	27440
6	377	26611
7	428	26378
8	478	26106
9	526	25791
10	593	26378
11	642	26123
12	703	26337
13	784	27221
14	847	27416
15	918	27799
16	969	27534
17	1023	27414
18	1086	27500
19	1142	27408
20	1187	27093
21	1274	27696
22	1341	27826
23	1404	27863
24	1456	27670
25	1488	27137
26	1545	27072
27	1595	26894
28	1641	26660
29	1693	26524
30	1754	26544
31	1841	26929
32	1965	27817
33	2033	27871
34	2123	28206
35	2237	28839
36	2316	28987
37	2407	29270
38	2475	29267
39	2547	29301
40	2611	29239
41	2665	29063
42	2710	28806
43	2760	28607
44	2812	28436
45	2858	28214
46	2916	28114
47	2975	28017
48	3037	27954
49	3098	27885
50	3158	27805
51	3202	27588
52	3274	27617
53	3325	27463
54	3380	27352
55	3432	27218
56	3485	27085
57	3540	26984
58	3598	26896
59	3653	26791
60	3718	26762
61	3779	26697
62	3844	26665
63	3896	26546
64	3979	26632
65	4035	26537
66	4085	26404
67	4174	26518
68	4255	26580
69	4334	26626
70	4421	26715
71	4544	27012
72	4648	27193
73	4742	27300
74	4825	27346
75	4885	27256
76	4924	27052
77	4987	26985
78	5049	26907
79	5111	26835
80	5186	26828
81	5273	26880
82	5355	26904
83	5446	26973
84	5533	27018
85	5587	26898
86	5659	26864
87	5719	26779
88	5771	26651
89	5830	26559
90	5880	26430
91	5897	26154
92	5952	26049
93	6000	25915
94	6053	25807
95	6112	25724
96	6161	25597
97	6208	25468
98	6262	25365
99	6310	25240
100	6354	25102
101	6437	25118
102	6522	25141
103	6606	25156
104	6684	25146
105	6767	25153
106	6849	25159
107	6943	25200
108	7031	25223
109	7080	25103
110	7146	25044
111	7198	24938
112	7271	24901
113	7321	24791
114	7376	24695
115	7438	24624
116	7491	24524
117	7543	24420
118	7594	24313
119	7652	24233
120	7705	24134
121	7765	24060
122	7854	24074
123	7958	24131
124	8038	24116
125	8098	24039
126	8179	24022
127	8264	24018
128	8379	24098
129	8461	24082
130	8525	24014
131	8592	23954
132	8657	23889
133	8724	23830
134	8789	23763
135	8854	23699
136	8904	23594
137	8957	23497
138	9015	23415
139	9069	23320
140	9120	23221
141	9202	23201
142	9337	23310
143	9423	23296
144	9520	23309
145	9598	23272
146	9673	23229
147	9752	23195
148	9802	23090
149	9851	22987
150	9912	22911
151	9962	22809
152	10019	22723
153	10082	22651
154	10123	22533
155	10167	22420
156	10224	22338
157	10272	22234
158	10321	22135
159	10402	22105
160	10492	22093
161	10565	22043
162	10626	21969
163	10697	21916
164	10763	21853
165	10846	21823
166	10900	21735
167	10946	21633
168	11005	21554
169	11054	21458
170	11100	21357
171	11161	21285
172	11206	21182
173	11282	21138
174	11347	21073
175	11402	20991
176	11463	20919
177	11511	20823
178	11578	20763
179	11663	20735
180	11810	20814
181	11935	20853
182	12009	20803
183	12100	20780
184	12176	20732
185	12242	20666
186	12310	20604
187	12365	20520
188	12419	20436
189	12462	20334
190	12516	20248
191	12561	20150
192	12610	20059
193	12669	19983
194	12758	19955
195	12840	19916
196	12902	19844
197	12967	19778
198	13043	19728
199	13149	19724
200	13215	19658
201	13275	19584
202	13323	19493
203	13391	19430
204	13456	19363
205	13510	19282
206	13571	19209
207	13622	19123
208	13674	19040
209	13730	18960
210	13783	18878
211	13840	18801
212	13892	18719
213	13941	18632
214	13998	18555
215	14054	18479
216	14125	18421
217	14264	18452
218	14331	18388
219	14378	18299
220	14425	18211
221	14502	18160
222	14603	18139
223	14677	18084
224	14748	18025
225	14824	17973
226	14902	17922
227	14988	17880
228	15062	17825
229	15134	17766
230	15186	17685
231	15232	17596
232	15283	17513
233	15329	17425
234	15373	17336
235	15435	17267
236	15530	17234
237	15599	17172
238	15675	17118
239	15743	17055
240	15813	16994
241	15893	16944
242	15949	16868
243	16005	16792
244	16063	16718
245	16114	16638
246	16165	16558
247	16223	16485
248	16273	16403
249	16326	16326
250	16389	16259
251	16468	16207
252	16590	16197
253	16646	16122
254	16704	16049
255	16764	15978
256	16824	15907
257	16878	15831
258	16938	15761
259	16989	15682
260	17039	15603
261	17098	15532
262	17172	15475
263	17259	15428
264	17316	15356
265	17369	15280
266	17434	15214
267	17494	15144
268	17563	15082
269	17632	15019
270	17692	14950
271	17769	14895
272	17841	14834
273	17913	14775
274	17968	14701
275	18017	14622
276	18064	14542
277	18109	14461
278	18156	14381
279	18201	14301
280	18256	14228
281	18302	14148
282	18351	14071
283	18401	13995
284	18449	13918
285	18496	13840
286	18557	13772
287	18610	13699
288	18669	13630
289	18756	13582
290	18896	13571
291	19037	13561
292	19116	13505
293	19184	13442
294	19267	13389
295	19335	13325
296	19419	13273
297	19482	13206
298	19530	13129
299	19582	13055
300	19634	12980
301	19679	12902
302	19727	12826
303	19774	12749
304	19820	12672
305	19874	12600
306	19927	12527
307	19976	12452
308	20032	12382
309	20083	12309
310	20132	12234
311	20186	12163
312	20244	12094
313	20298	12024
314	20360	11957
315	20412	11885
316	20460	11811
317	20512	11740
318	20558	11664
319	20605	11590
320	20659	11520
321	20714	11451
322	20768	11380
323	20829	11314
324	20890	11248
325	20947	11180
326	21011	11116
327	21060	11043
328	21130	10982
329	21195	10918
330	21269	10859
331	21322	10789
332	21370	10717
333	21424	10648
334	21469	10574
335	21521	10504
336	21572	10434
337	21623	10363
338	21673	10293
339	21727	10224
340	21789	10159
341	21843	10091
342	21896	10022
343	21953	9955
344	22005	9886
345	22057	9817
346	22107	9747
347	22160	9679
348	22208	9608
349	22259	9539
350	22312	9471
351	22361	9402
352	22417	9335
353	22473	9268
354	22521	9199
355	22571	9129
356	22624	9062
357	22672	8992
358	22721	8923
359	22776	8857
360	22831	8791
361	22878	8721
362	22935	8656
363	22985	8587
364	23042	8522
365	23098	8456
366	23157	8392
367	23211	8325
368	23274	8262
369	23329	8196
370	23414	8141
371	23478	8078
372	23569	8025
373	23625	7959
374	23674	7891
375	23728	7825
376	23782	7759
377	23839	7694
378	23892	7627
379	23937	7559
380	23982	7490
381	24036	7424
382	24096	7360
383	24157	7297
384	24212	7232
385	24263	7165
386	24328	7103
387	24382	7038
388	24442	6974
389	24504	6911
390	24560	6846
391	24620	6783
392	24668	6716
393	24716	6649
394	24763	6582
395	24811	6516
396	24863	6450
397	24912	6384
398	24963	6318
399	25018	6254
400	25069	6189
401	25125	6125
402	25178	6060
403	25226	5994
404	25284	5930
405	25347	5868
406	25410	5806
407	25475	5744
408	25536	5681
409	25602	5620
410	25677	5560
411	25770	5504
412	25846	5444
413	25895	5379
414	25939	5312
415	25996	5249
416	26044	5183
417	26098	5119
418	26160	5057
419	26215	4993
420	26270	4929
421	26332	4867
422	26386	4803
423	26437	4738
424	26493	4675
425	26546	4611
426	26602	4547
427	26655	4484
428	26714	4421
429	26766	4357
430	26826	4294
431	26878	4230
432	26941	4168
433	26995	4105
434	27050	4041
435	27098	3977
436	27150	3914
437	27195	3849
438	27245	3785
439	27301	3722
440	27354	3659
441	27406	3596
442	27464	3533
443	27514	3470
444	27563	3406
445	27619	3344
446	27671	3280
447	27745	3220
448	27835	3161
449	27913	3101
450	28012	3043
451	28137	2988
452	28203	2926
453	28253	2862
454	28300	2798
455	28347	2735
456	28403	2672
457	28454	2609
458	28584	2553
459	28666	2492
460	28707	2428
461	28752	2364
462	28797	2301
463	28844	2237
464	28887	2174
465	28946	2111
466	28999	2049
467	29048	1986
468	29107	1923
469	29162	1861
470	29219	1799
471	29285	1737
472	29348	1675
473	29415	1613
474	29474	1551
475	29533	1489
476	29597	1427
477	29662	1365
478	29727	1303
479	29786	1241
480	29849	1179
481	29911	1117
482	29973	1054
483	30036	992
484	30096	930
485	30153	868
486	30213	806
487	30270	744
488	30341	682
489	30442	621
490	30508	559
491	30548	496
492	30592	434
493	30638	372
494	30681	309
495	30737	247
496	30784	185
497	30836	123
498	30891	61
499	30941	0
