iter	Passed	Remaining
0	46	23403
1	91	22805
2	152	25231
3	221	27522
4	278	27607
5	330	27250
6	385	27130
7	440	27083
8	495	27014
9	557	27309
10	613	27267
11	666	27086
12	732	27456
13	798	27728
14	865	27996
15	919	27828
16	981	27882
17	1044	27962
18	1101	27894
19	1157	27774
20	1222	27895
21	1283	27892
22	1344	27889
23	1456	28879
24	1546	29382
25	1633	29777
26	1738	30452
27	1805	30437
28	1881	30551
29	1953	30598
30	2040	30875
31	2111	30874
32	2184	30914
33	2248	30823
34	2305	30631
35	2398	30916
36	2505	31351
37	2593	31529
38	2668	31539
39	2740	31518
40	2818	31558
41	2918	31830
42	2992	31799
43	3075	31874
44	3142	31773
45	3190	31491
46	3250	31325
47	3309	31164
48	3364	30968
49	3416	30752
50	3472	30567
51	3520	30329
52	3572	30130
53	3621	29907
54	3670	29699
55	3725	29540
56	3787	29438
57	3844	29297
58	3914	29260
59	4069	29842
60	4216	30346
61	4333	30612
62	4412	30606
63	4507	30706
64	4593	30743
65	4680	30778
66	4774	30856
67	4862	30889
68	4956	30960
69	5037	30946
70	5099	30810
71	5166	30710
72	5235	30625
73	5299	30508
74	5378	30480
75	5447	30391
76	5519	30322
77	5578	30179
78	5647	30094
79	5731	30089
80	5795	29979
81	5853	29840
82	5903	29661
83	6001	29719
84	6094	29753
85	6176	29734
86	6262	29728
87	6365	29803
88	6478	29919
89	6590	30022
90	6654	29908
91	6746	29918
92	6818	29838
93	6897	29789
94	6990	29802
95	7072	29765
96	7142	29674
97	7218	29609
98	7299	29568
99	7360	29442
100	7445	29413
101	7504	29283
102	7567	29166
103	7622	29022
104	7673	28868
105	7776	28904
106	7865	28890
107	7917	28735
108	7965	28574
109	8016	28421
110	8077	28308
111	8146	28222
112	8218	28145
113	8273	28012
114	8336	27910
115	8399	27805
116	8465	27712
117	8549	27677
118	8679	27789
119	8860	28058
120	8982	28134
121	9085	28149
122	9163	28087
123	9248	28043
124	9345	28035
125	9400	27903
126	9461	27789
127	9523	27678
128	9576	27540
129	9677	27542
130	9801	27609
131	9881	27548
132	9974	27522
133	10059	27475
134	10127	27380
135	10221	27358
136	10273	27221
137	10326	27088
138	10389	26981
139	10443	26854
140	10492	26716
141	10548	26593
142	10602	26470
143	10653	26337
144	10727	26264
145	10818	26231
146	10893	26159
147	10965	26079
148	11047	26025
149	11142	25999
150	11238	25975
151	11327	25934
152	11394	25842
153	11438	25700
154	11498	25593
155	11554	25480
156	11616	25379
157	11671	25263
158	11723	25143
159	11774	25019
160	11819	24886
161	11867	24760
162	11918	24641
163	11979	24543
164	12028	24421
165	12090	24327
166	12135	24198
167	12183	24076
168	12234	23962
169	12284	23845
170	12334	23732
171	12392	23632
172	12442	23517
173	12490	23402
174	12541	23291
175	12595	23187
176	12643	23072
177	12716	23004
178	12790	22937
179	12861	22864
180	12921	22773
181	12998	22711
182	13064	22631
183	13151	22585
184	13210	22494
185	13266	22396
186	13324	22302
187	13377	22201
188	13460	22148
189	13540	22092
190	13631	22053
191	13687	21956
192	13736	21849
193	13788	21749
194	13843	21652
195	13951	21638
