iter	Passed	Remaining
0	47	23798
1	91	22817
2	134	22216
3	189	23508
4	258	25637
5	307	25344
6	353	24916
7	401	24698
8	446	24370
9	480	23527
10	534	23758
11	584	23787
12	641	24029
13	693	24066
14	748	24205
15	801	24233
16	852	24233
17	872	23370
18	936	23703
19	993	23850
20	1052	24013
21	1107	24063
22	1166	24197
23	1335	26488
24	1421	27003
25	1469	26793
26	1521	26654
27	1565	26386
28	1605	26080
29	1640	25704
30	1726	26125
31	1830	26775
32	1913	27079
33	2079	28499
34	2156	28648
35	2238	28848
36	2308	28883
37	2387	29020
38	2443	28879
39	2498	28729
40	2543	28473
41	2592	28266
42	2639	28055
43	2699	27977
44	2748	27791
45	2807	27711
46	2869	27654
47	2921	27508
48	2973	27366
49	3029	27266
50	3081	27132
51	3156	27196
52	3232	27260
53	3300	27259
54	3376	27322
55	3419	27108
56	3482	27067
57	3559	27126
58	3617	27042
59	3681	27001
60	3742	26934
61	3823	27008
62	3893	27009
63	3957	26961
64	4025	26940
65	4077	26815
66	4124	26654
67	4190	26619
68	4248	26537
69	4372	26857
70	4431	26776
71	4485	26665
72	4545	26586
73	4590	26427
74	4650	26350
75	4700	26221
76	4756	26129
77	4816	26058
78	4864	25922
79	4915	25806
80	4967	25695
81	5012	25553
82	5053	25390
83	5108	25297
84	5156	25176
85	5207	25070
86	5264	24992
87	5314	24882
88	5365	24776
89	5419	24687
90	5476	24612
91	5528	24518
92	5589	24462
93	5644	24381
94	5706	24327
95	5772	24293
96	5842	24275
97	5907	24233
98	5968	24175
99	6042	24170
100	6113	24150
101	6190	24157
102	6258	24122
103	6336	24125
104	6394	24056
105	6454	23991
106	6517	23937
107	6613	24003
108	6711	24074
109	6764	23984
110	6820	23902
111	6876	23822
112	6920	23699
113	6977	23624
114	7048	23598
115	7103	23515
116	7180	23504
117	7237	23430
118	7295	23357
119	7354	23289
120	7405	23197
121	7461	23117
122	7517	23040
123	7588	23011
124	7652	22956
125	7706	22874
126	7764	22802
127	7826	22746
128	7880	22664
129	7942	22605
130	7999	22534
131	8053	22453
132	8127	22426
133	8192	22375
134	8246	22295
135	8304	22225
136	8352	22132
137	8403	22043
138	8458	21966
139	8507	21877
140	8559	21792
141	8614	21716
142	8669	21642
143	8731	21585
144	8807	21564
145	8890	21555
146	9003	21621
147	9057	21541
148	9103	21444
149	9162	21378
150	9209	21286
151	9264	21209
152	9320	21138
153	9372	21056
154	9421	20970
155	9483	20911
156	9550	20865
157	9613	20809
158	9736	20881
159	9822	20873
160	9874	20791
161	9924	20707
162	9974	20622
163	10030	20550
164	10075	20456
165	10122	20367
166	10174	20288
167	10205	20167
168	10320	20213
169	10411	20209
170	10491	20185
171	10570	20157
172	10647	20125
173	10728	20099
174	10805	20066
175	10884	20037
176	10939	19963
177	10997	19894
178	11051	19818
179	11112	19754
180	11176	19697
181	11362	19853
182	11469	19868
183	11559	19852
184	11671	19872
185	11756	19846
186	11885	19894
187	12004	19922
188	12088	19891
189	12163	19846
190	12237	19798
191	12298	19729
192	12369	19675
193	12441	19623
194	12507	19562
195	12577	19507
196	12644	19447
197	12717	19396
198	12778	19328
199	12876	19315
200	12962	19282
201	13043	19241
202	13119	19194
203	13198	19150
204	13285	19117
205	13372	19084
206	13444	19029
207	13512	18969
208	13568	18892
209	13622	18811
210	13685	18744
211	13816	18769
212	13891	18717
213	13972	18673
214	14031	18599
215	14093	18529
216	14145	18447
217	14199	18368
218	14245	18278
219	14291	18188
220	14348	18114
221	14419	18056
222	14515	18030
223	14602	17992
224	14688	17952
225	14766	17902
226	14859	17870
227	14944	17828
228	15031	17787
229	15101	17727
230	15156	17649
231	15210	17570
232	15260	17487
233	15309	17403
234	15356	17317
235	15406	17234
236	15450	17145
237	15498	17061
238	15547	16979
239	15602	16902
240	15690	16862
241	15782	16825
242	15856	16769
243	15929	16712
244	15990	16642
245	16045	16567
246	16133	16525
247	16268	16530
248	16323	16454
249	16385	16385
250	16434	16303
251	16488	16226
252	16547	16155
253	16611	16088
254	16686	16031
255	16732	15947
256	16779	15865
257	16834	15790
258	16888	15714
259	16936	15634
260	16985	15554
261	17041	15480
262	17087	15398
263	17144	15325
264	17200	15253
265	17251	15176
266	17300	15097
267	17350	15019
268	17401	14943
269	17450	14865
270	17500	14788
271	17551	14712
272	17600	14635
273	17652	14559
274	17701	14483
275	17752	14408
276	17805	14334
277	17850	14254
278	17900	14179
279	17954	14106
